Sale Status,warranty_years,width,fuel_efficiency,highway_mpg,maintenance_cost,city_mpg,length,insurance_cost,Car_Model_6,curb_weight,warranty_miles,wheel_base,height,mileage,horsepower,age,fuel_capacity,weight,price,engine_size,depreciation
Sold,-57.54854374274836,0.39517281229977225,142.81995525137694,228.95543327346294,85.87488857991296,-112.05264256012426,38.968497967511105,85.34012220366303,Sedan,-40.386951256965745,7.616848270987535,-0.6457388710308423,-0.17473930810432992,-43.59616501625257,1.8065881594362263,1.2525646846235818,2.2867028688253956,111.16835612665592,1.8049554738686897,54.22619250802438,31.151227428014224
Not Sold,-6.861214533433267,-1.1360756847531064,-55.12491926247387,-9.486699421192087,-50.60986125286463,-63.65280894337578,98.59036339574875,87.23511516287158,Sedan,-207.94366641175623,-102.8441924316356,0.20980538404223792,-1.4839772446062685,251.19346033601056,-0.8738377037952028,-2.399810857868226,77.20938384383174,96.89519700085195,-0.7325561074387452,63.88295736438945,-90.80888037452836
Not Sold,-42.923448754373815,-0.0602925062826735,-65.96710978297457,73.04642245980891,52.16393252132134,-13.160517484933504,8.072796114893078,-0.3712270307913358,SUV,34.12703646876271,105.09936036012115,0.9540124495933615,2.2587812277627948,94.86752230614258,0.11826379472745965,-0.5103609941913511,-2.123100073278054,-14.581980781617073,0.05262012080446823,-51.38129719552088,-106.78982213605617
Not Sold,153.2011846098546,-0.7936378572225032,4.332311418288949,-179.0584157765106,288.22301918319056,-1.674026674029773,192.5284447376588,131.48314755980718,SUV,29.02568731196462,2.339093271378165,-0.5344806545095453,0.1430130478293431,-124.39966845017649,0.3943270818526972,-0.09850295254360278,-14.955452283740472,-72.61632637774204,1.2034532217719458,-1.8943408503355839,-33.07205697728548
Not Sold,-0.5243469634513929,0.03155902884547751,-67.89513349039566,4.1571590740817825,-76.13265926522323,-166.3534802434437,101.56244861585893,-171.83043269794848,SUV,33.860974711774176,216.60513800706087,0.09401458158627905,1.434047735084616,209.5000777101541,-0.33855871626589884,0.5452027684505054,90.05607658835298,39.80557917125488,-0.7323860564534672,81.62175762793618,56.02975164836468
Not Sold,80.96559507205808,-1.2146654618748791,18.198335504811176,-52.34681777926542,-7.718249595696356,-63.98785890127314,-81.85036189624459,-27.797468727223613,SUV,-161.18028246809902,-71.42336133804096,-0.617086679135335,1.1162374270139563,69.80578886404382,-0.06694119629883347,-0.9555273208855948,50.57175735627549,25.056851349793547,0.09892478873872115,26.89334720973846,-70.27653887136039
Not Sold,92.9279753248143,0.24521029398960853,49.733622179370926,-89.2895718880424,-75.21859302457854,-89.07811804372288,-19.89664635141179,79.10214167518696,Truck,100.49947750682176,99.37092741094845,1.0058684881779518,-0.14576982860342197,22.555392375006768,0.5107833623300275,-1.3972278441663724,1.517566272657998,-11.932708210334937,-0.4033343398421679,87.34411089970224,-72.62825886174602
Not Sold,-74.05803332478025,1.2900396628024176,65.64970123538123,-9.612028537433378,-117.45441356552897,252.64573901689027,-31.96998435633126,69.75551462076572,Truck,-143.72054277879369,-149.10400320654543,-0.02843982000719845,-0.7327793228916545,98.24206141098952,-0.41683503355393964,0.9625959957464073,-44.72366478621228,-125.96294644561488,-0.5320386342519355,125.53376053254475,147.90993172096657
Sold,137.46229770621775,0.4283693653356329,-25.561094851219977,-107.66532352763815,-139.53679311347634,-118.67707111454192,-27.13968654351416,43.417987015944995,SUV,-21.3822524056061,-48.03078264225076,0.8506233026337335,1.7158075123940768,-64.77028028320329,0.1772199403852533,-0.7001482998552744,23.998849231420806,-59.45171457467886,-0.4834269115523625,-164.57185452553355,-115.1570753772117
Sold,-11.558681300985281,0.3329585355727214,106.07304508945752,46.95425603561063,11.528516983080458,-53.04116910558495,-81.81592622891587,137.51164171897906,SUV,32.84660091440899,-152.9670379875111,-0.10422906399976284,1.398158666636344,95.4295456991395,0.3949027323615501,2.25142800116265,87.52178894600517,-137.8510306111027,0.6598658987392656,125.93049869790734,139.99018596519312
Sold,-156.57637165226154,-1.2143961684247935,82.24391382100833,-77.33248863923266,-38.44622372793434,76.88695963512058,-60.10525027103868,-30.065453937362662,Truck,-92.46823308625329,-92.07077414779421,0.8611838137320668,-0.8001890761897541,-90.44336747895014,1.1808484335179426,1.5930417179776364,172.7637779542553,12.678408020080509,-1.9615906838704906,11.223307220017793,-91.23603870703757
Not Sold,-54.544669196275144,-0.08117772478212448,96.06149756048454,67.32860821528952,-87.16116647893786,37.60032743757516,-32.96360610763694,-154.37131881428087,SUV,49.79588301026162,-153.45449730493868,-0.9051458569869151,0.9572926299233314,-135.0916187161878,-1.3489373970014031,-1.1541989564514208,-228.76194881252547,34.72547036657904,0.8472729132758183,-87.31294326915875,75.41879833077012
Not Sold,92.78372647865083,-0.5008576625125895,196.57381421963456,-293.27018714114996,53.51137422111849,109.73529222536733,-188.3836231862199,-58.01706198236123,Truck,-105.70415829468493,89.54761450130863,-0.2194130239921224,0.9211866976905264,-30.6912108007513,-1.512625733352618,-0.873906526645331,11.916349360849837,88.79433712965404,-0.4554888802661102,-15.00822318635779,-8.215140856362495
Not Sold,-73.54577347919718,0.07131905842655661,16.599667495136565,54.363712337443324,-53.69698623392184,-176.12333447819572,-118.7110371275686,40.371375407399555,Truck,-137.00282675526825,22.53252069301219,0.3393561805575007,1.1327191040155713,-7.03988408386482,-0.26045279619046685,0.6183005439354456,-48.2691521363388,-97.4497834018165,1.551644664792724,67.09389124698288,57.22521480026829
Sold,-43.77030305968418,0.2963595528288041,-136.99612335311204,64.06812771223129,273.1305956266734,-128.15519093692015,119.4629539033976,301.7169565443825,SUV,112.6668504668223,165.22916014270015,-0.49205123650479843,1.5504328778385545,-61.55021010062749,0.4529694478304912,1.0365449344381297,-136.2945315357101,68.11752964969972,1.4910968666334796,-58.27803239746421,-98.54567264817123
Sold,-176.95458580794968,-0.7410452824404286,-30.269991863343076,135.60410253700607,-91.48825553878238,105.72411264893464,12.024603211434918,35.74285980583193,Truck,86.4485623131148,-54.51298086134141,0.4590693687955758,2.535034176928743,-60.79506398976844,0.48134905600535227,-1.0951389526998963,-51.48568682886633,-70.39026881264279,-0.45867879553616486,65.9044905619086,-5.57698607151776
Not Sold,114.62740352899736,0.38565685171298536,29.13053593504499,-149.7577253942751,-100.49913919988593,82.10849769161096,62.34689101472593,23.83875685348879,Sedan,42.010550180855766,76.49654372623154,1.697464305184583,1.0396647117422009,-6.6887175775811265,-0.14728944381059,-0.600057574059394,173.2857573894469,-35.07954695291027,0.052061722832416335,-113.7379471561221,3.234002766852083
Not Sold,103.2378548301001,-0.44929609335163734,98.94387357180105,-27.024694000534154,-63.12456816628519,-68.87920017783605,-7.15908861352599,-3.8740684474202682,SUV,-58.80748472211216,-64.506578513347,-0.33564074062422145,-0.745727194465483,125.12407645560175,-1.6300748586935196,-0.6599221609508826,-76.01435119063383,35.33158791149946,-1.1606707481794953,11.893983605007802,-28.429513235626025
