Sale Status,horsepower,wheel_base,warranty_years,maintenance_cost,age,curb_weight,length,width,highway_mpg,fuel_efficiency,depreciation,weight,mileage,insurance_cost,height,Car_Model_42,warranty_miles,price,fuel_capacity,engine_size,city_mpg
Sold,0.9993292245057263,-1.2052096025067722,71.45843086630006,-171.42155413361755,-1.246327317934672,-72.00165211254004,66.65315195752008,0.3740929715894289,165.88110445542742,-0.5575583072597086,70.18761020892677,9.381162131016918,-35.748133208775016,108.6465070568752,23.37811333933786,Truck,18.513619863105486,-1.0205651007369105,98.70156790913943,17.737381372480357,71.45619696528468
Not Sold,0.3513007707943461,0.8083912353481457,25.346965587786922,54.51200323560634,-0.5386325696996368,-58.636029779510515,-58.06144390377328,-0.40737890244583463,-169.1886878137246,1.0960095544623312,71.80362742223583,-112.01361737279467,-5.921508079030252,-35.75379309336357,133.64460635314575,Truck,23.5476251879893,0.4037624603789168,95.47133381520419,-37.8654108353253,-35.42678357272796
Not Sold,-0.947505230249329,1.774878791642153,109.2968960016216,106.5668090986537,-0.03279026609819251,11.454602636446012,-10.566926415517251,1.035348020500365,-21.619715612162143,1.3413906339953294,77.11296057637348,80.15100491366795,-12.049167904392867,10.11041973058747,5.448235897396532,SUV,53.49779511520112,0.39772337336773655,-32.739027172213895,33.216036093245656,-82.29832035566913
Sold,1.9857971970218216,-0.9068605955855502,39.590197987588596,145.74547347782266,1.3295261599619816,30.333142382008106,185.16778520136378,-0.5743349781109426,85.02755101398317,-0.2714097821187481,124.3780009949613,69.25867735623002,-33.77571414956789,74.17437466924444,48.810684868380555,SUV,127.25979554984579,0.09577324115110647,-205.3312067269192,-72.6033228768016,-59.71049452932957
Not Sold,-0.4682254168053379,-0.5274396626948389,87.56105594398682,40.98465347493169,0.2852828764535585,17.18388898490582,-74.13967970367737,0.6421626245396209,-58.473861808873004,-0.8901405555776454,11.085075911236974,-74.46731851030991,58.210117229796076,170.90138513374816,-72.5397685222761,Sedan,-23.493017313038987,-1.052309931657006,-75.58573657319326,-74.54050617715997,-19.51941780113823
Sold,0.471493867311144,0.22503237689560307,104.65023949940237,-72.07860568462591,-0.4695127104352148,81.95729042130817,54.313396186172,-1.9517492937340362,-1.563413465942952,-0.912749892260108,-26.434951113291934,168.8351668695507,-59.39184627263408,92.22048624443859,-94.42213861752815,Truck,80.55236820718928,-0.4427552508431656,-77.44313391551046,-118.18888188283584,285.1800919475306
Not Sold,-0.07195593626154938,-0.6332479834422038,77.53547191005384,-11.213840553802877,0.7398028660891914,88.3766069940728,167.9275156891383,0.7725477473527818,-125.9104091693799,0.777717777445987,-222.8314030989996,-119.01275855513742,96.40370583600941,132.06603381736159,12.471003542578696,Truck,10.720891176517544,0.37260868837405037,-86.41350998922613,29.09447583689873,-45.12376493927485
Not Sold,0.4847452389588916,2.579751722381112,75.26487276179972,-18.028370527221067,0.574978902519338,-134.19888361729747,84.56208586602936,-0.5598776544157701,80.26300689810336,-0.1273512400551829,-52.04584183237386,-165.85148375875602,-24.969642558696446,55.463883974832214,110.0470872379475,Truck,76.22496110744889,-0.2626326945560597,81.24512012540256,-44.41909603621508,-52.878810301206784
Sold,0.5074625828654473,-1.1181685653933087,-41.68245807439646,-205.58217764345227,-0.017756952890671696,-49.68135478842994,-38.32135274904488,0.40633110124838323,-12.061809524542442,0.5581437594373269,-30.69678596599258,130.5107563940006,5.926373592575735,-125.08445158600337,-7.738558150527217,Sedan,131.38634385063978,-1.8489664247419713,6.138447161905157,112.0662042695527,14.915473737256477
Sold,1.9734555907122764,-0.43232723357225933,-122.78352906838424,23.550340250299108,1.8790951591863665,91.45916648573899,2.1020119583582595,1.3654344490469847,-78.5783720022517,1.3180483200269113,132.37103308151305,97.51869675736393,63.572553787343914,-163.59215984975415,-3.9576883740901834,Sedan,-200.03511613023917,1.8321480979163327,12.846914864246894,-54.974146557897065,17.954013930708687
Sold,0.9945380394252119,1.4552441393593019,61.958796237849455,-12.755613388844678,-1.5334103570344095,78.7676322835118,47.16011569361582,0.9743451709195684,225.03241776616773,-0.9746783329869937,28.35820966628686,30.6957855544035,9.859989990678029,72.36040893530867,-89.12266793970377,SUV,128.750902591397,1.1393751606820062,143.11455478184678,-12.558608249290831,-24.11655237616173
Not Sold,-0.07937649769893661,1.9088398371709399,55.70028969537575,-65.2172415028019,0.09838014452856511,64.48203192738072,44.13238445651483,1.5905619496044008,93.05219243791481,-2.0300804977601827,-104.90295485216636,96.3097336493692,-222.79760088549386,88.32498489122177,299.9151407638768,Truck,-50.03123666773684,-0.6142406687871255,-66.03329728618294,-161.12539436222943,107.47535349723208
Not Sold,0.45241191633725886,0.08892966764237921,15.948234383031954,42.02498134937527,0.8153624864510521,-33.86841984672909,199.28308956554386,-1.0712165411333843,-108.3640873828666,-0.2929956538874208,-107.70135292609892,-47.454788368872364,-46.872138029387266,50.55040974999143,52.55228499751933,SUV,-160.3835830642579,0.32354365788829975,-191.1479853483066,-129.25701097861284,-104.98160104438155
