Sale Status,fuel_capacity,length,weight,wheel_base,age,Car_Model_20,engine_size,horsepower,fuel_efficiency,maintenance_cost,curb_weight,width,warranty_miles,mileage,insurance_cost,warranty_years,highway_mpg,depreciation,price,city_mpg,height
Not Sold,-139.25064427069387,-3.654026634572797,1.45510379161069,-1.3753683289661862,2.014154301597748,Truck,-155.5125986943477,-8.890252451330559,-1.0219411427247405,-14.05344148779709,-160.56122382856003,-71.5319711601998,-102.69956213831118,-122.99439255251983,-0.3451982041278299,-0.4553121758688087,-17.43904861266652,-180.40955157211638,2.1362615246768812,278.198185150649,27.37014906940722
Not Sold,-68.41994894688355,-82.95123729215548,-0.9854440914264353,-0.08129995131500256,2.5367669112103037,Sedan,-73.19112269643482,-35.49141464559509,-1.8370055900398516,72.76924298216167,-56.523388544884426,-9.889951780706536,-56.74705391101307,-20.221960386948172,-0.029337279012205612,-0.12997232980447349,94.9076718993973,12.442131647608427,169.47130712685566,-48.69666741571986,118.30931052963571
Sold,255.86593050806653,-29.884143463097967,-0.5568654912543818,1.6726307910385119,0.2562370730407387,SUV,52.530411085190124,-45.240313653040545,2.0627461710916855,-108.11117685234719,157.53453778881666,208.39724241896644,67.95988193718772,-124.14051647350234,0.45415511882665127,-0.7782275524121061,15.436262166756473,-2.558230019002801,-127.05977022385643,-106.40902124761892,70.92575382833576
Not Sold,-43.815082322045114,15.845527194049524,1.6510396778672805,-0.6668497948262755,0.433251559467897,Sedan,-57.47130250954463,-184.74074035815414,-0.4187508480124457,-172.03957594709289,2.582688820785377,116.33712781677784,22.352079820192657,-139.109028781165,-1.8303308593766803,-0.3676009232630989,-81.18502105009358,4.5346564987183635,-133.56227037574308,-23.03893917515424,-87.85755765526613
Not Sold,143.0540628793157,55.124986509247655,1.0274026273849597,-0.41184602463975534,-0.8225534109830729,Sedan,99.50924766451439,-87.65061640872433,-0.555392251232549,155.82062088520138,104.30386296479624,-49.75360759587204,-26.056696577697185,-170.1940052857055,-1.5685692074573943,-0.17677175954606264,-135.68243620424317,22.367951096234545,-12.256446167315218,110.82316625020401,85.37823454730324
Sold,-83.51702151676842,-102.10758040292632,2.3973702320198242,0.7982715852515448,0.04007658788974977,Truck,40.058341687687104,26.33055289356814,0.8932833121677373,132.26265753106705,-61.62240614371927,130.4542804613694,87.88999196294739,-79.69675161094094,0.031468948314183565,0.2596167203156926,103.27620569841775,173.86900115022198,-94.76958003587086,75.38985528295461,6.963156270178905
Not Sold,56.630361282978484,-43.677557036911416,-0.4217972392341276,0.18162240805709648,1.1157018603592486,SUV,13.027441802974781,44.82461640654364,-0.7986289496260878,-150.02355380792076,42.638776882918066,19.715242204762802,-170.09091948940295,-23.843527916012974,0.3221935081449962,0.9780191266677097,-171.32658377417692,141.63073744662475,-57.873278088146016,-85.65922128858952,-53.19274431523476
Not Sold,-70.32540003938654,-72.17870385429231,1.6557582727540692,-1.7685989764793055,-0.3616403860229709,SUV,-14.534127319488535,-5.927800721485231,-1.567524673575975,53.16021860902108,125.19902113392263,-75.1976661550897,0.48591921860404363,117.26648593060254,-1.1001177680720988,0.6539317002144347,20.03012975033886,209.21053359906415,-109.19006255008948,47.38606345612237,-10.090470076605392
Sold,242.27827406053984,91.12252002917059,0.7443974125243463,0.0726758816431447,0.26105714904336486,Sedan,-90.57079876773932,175.22197389111412,2.405467635665957,-30.321794117482188,-86.5018109924827,132.71633407678135,65.02301627893985,-44.17548986791985,1.8654737408195015,-0.9432367653542073,43.1462247422232,22.344677618360404,85.1448991288055,106.38989347932544,-138.55370821052298
Not Sold,-137.90567019857264,-123.66913297960038,0.05661843572662575,-0.2281435352283699,1.3201686385308096,Truck,-81.51321317389936,-110.8942283195111,-0.6492490707175329,-65.6460625116826,-81.86832398574441,-10.419559016366316,-103.48953001152476,-101.17695955508152,-0.008549257595940914,0.6677852842600753,90.43116395745386,-93.93035669469377,72.38651225031593,34.567357580317804,15.263178862774055
