highway_mpg,price,height,warranty_years,insurance_cost,depreciation,Sale Status,Car_Model_3,city_mpg,curb_weight,warranty_miles,horsepower,engine_size,mileage,fuel_capacity,length,maintenance_cost,age,width,weight,fuel_efficiency,wheel_base
-133.32307153818277,138.5810150393282,14.110595498726465,0.3209560083886473,-0.7137979252468155,27.56394503171177,Not Sold,Truck,114.66828136344762,-83.97528223968946,127.49997206708923,198.30534895685042,77.51257002642424,-91.66568210570136,0.3565489326339559,-0.06889509819797794,-0.33722779265124214,58.22471478033737,0.9895265005261393,73.07856576124378,55.19131863521154,-131.2939498510975
-305.5972036196395,207.14828488575193,-57.90459600327975,1.0079136911522433,-0.09810277211396623,50.1147859113239,Sold,Truck,56.802106868502364,79.57545482005855,-18.005059557129314,13.278363791224134,19.20457183620027,-63.64570150193365,0.7847605351106226,-0.40548230009249553,0.037978168842450755,102.36361795444155,-0.38023668034450153,-37.165554897346595,-78.9171164026762,50.368669973871064
-60.457788423896474,-214.14254256298895,-45.62996784289109,0.8908352378405058,1.7888279363312265,74.85326015537323,Not Sold,Sedan,-168.20580981538077,88.17359487894112,-57.27502397919011,-169.25194493433327,123.66814800549584,3.8578511738966323,-0.45706331581547915,-0.7973739662708984,-0.047702699468277925,10.749674681530013,0.6585400249058369,189.80804641004852,68.8082194802534,-38.7427953132806
162.08371026559723,151.97169696336587,41.29772794136486,1.7671664533254123,0.3550954155634627,-144.63937036249095,Sold,Truck,84.92468978811193,41.09067096150801,-41.62652819102932,-98.37232552958118,40.711434201879804,113.49182086976634,-0.863703295003341,0.4356223626630209,0.2788584476149938,3.5606823523748528,1.9778194584235784,-67.30008966506553,-40.067300816509686,-199.14587230549023
-78.68150372913294,-67.18802676512668,198.68820556151002,-0.4458028428849231,2.5723348475636136,-23.768174682852152,Sold,Truck,11.317150618071075,-165.64367608506396,162.44711229148004,-43.42028455779568,-115.26464148666192,109.88017808078972,0.8565247249316632,0.7228593877243995,-0.1804393341092142,-32.78954151412372,-0.4936987919225234,133.20533510631685,-46.20142292179024,-44.04803550939238
38.70777662693628,3.7918686517021176,-200.75696497493306,1.1646795217558106,0.3767576858207518,-312.46838781445445,Sold,SUV,176.97643281818537,56.16628025671978,-54.913171604324475,-67.55061316465014,168.1152656406684,211.7039117288484,0.03563489612249304,0.879419828729014,0.2513137329576257,-36.5697401352457,0.9545837869747948,66.70892408175261,-35.029686143911306,-72.7508738209919
40.326663941036195,28.510369450387124,86.56371417169795,-0.13451431896567173,-0.3557216949132828,-29.93096433203093,Not Sold,Truck,80.16111250143878,-143.07830962457464,71.91260917973084,78.50074072565123,-114.78735931089186,85.4853444760433,0.8373536122797027,0.39139402971528076,0.6707309268332746,-14.9221863914156,0.6036648185224298,-22.02475506256654,166.58973172571788,230.18290836430526
18.731593461858793,-75.18180568861736,-100.99179773279509,-1.2205206472350265,2.0105973031042916,31.798279050579954,Not Sold,SUV,19.215894529132285,-9.544862093075396,29.805793292207216,-49.32285236546546,-20.210453904036978,-91.49610985313961,0.833030845151401,-2.0034806384736235,1.7223413523564186,-124.36161135891356,-1.8895641985758613,40.32278651962683,26.210829677828396,-49.97798038929698
-1.9661106209058723,9.464458367179333,-145.85397954596831,-1.0197253160545128,1.567557617247286,-111.32944847215083,Sold,SUV,4.094517896062323,-237.60913517000355,-73.92065129466238,66.50191696090798,-18.354590757673662,16.420312297725225,0.3399003742164114,-0.24661031031658143,-0.7825789039852764,-22.421875121693727,2.671867215866682,72.73882780118738,-13.085218719258576,-63.74926485141916
-74.82728792960829,-264.1774620207771,-185.2021513284022,0.1975165707098263,0.41162155627219604,74.79070518955638,Sold,Sedan,-50.2541222309832,-14.135866046227397,-40.98055825896802,42.434429653163264,362.43180193561625,253.17491460032522,1.159585033910082,-0.48620023723087114,0.19544377408304703,-76.31613975502043,0.4927987789330962,-93.64865402358969,89.04632279440206,116.57190673671982
-183.52792025711727,184.9150169843987,-22.457044913118487,0.9189899063236954,1.7500155591166617,-105.54632125669505,Not Sold,SUV,102.5645852859018,34.98784602036496,12.393976914249452,-78.05818916134272,-101.41907835798689,-53.84547265168369,0.36012258418415544,-0.7590685030376942,0.7697143401318024,-67.6312280626178,1.189834160063889,-13.678578210944279,146.06867279947258,-95.78764618695547
-54.67480942576878,59.71274860280541,-65.87449726498872,-1.3222874122766484,1.6944655993024007,42.62408079658784,Sold,Truck,41.901377303021846,76.2744221295319,74.40947832005916,172.78211046407682,103.47465834142244,18.631883880417092,-0.12262372111571307,-0.6865175511574575,-0.9856211063675231,1.2611225779496171,0.056228291246658624,-70.56497411593074,-10.017517991243677,-92.95913955048864
-188.75383145301416,-52.989460363076056,250.82512254573865,0.41126298582137555,2.4286788810743962,24.46334073277529,Sold,Truck,-10.405265234192793,-79.80904650604877,-79.60178571962214,49.17573060612258,-184.39872721223628,125.99504526893679,0.6447302774410439,2.456987101117745,0.896760818101293,-77.37282065552448,-0.8107019261801536,-43.47108275868624,147.4009355896248,87.938580521697
-30.351945950544412,171.50920234877918,-88.94979499160371,0.34017500215056123,-1.567531633304781,-90.63926315118286,Not Sold,Truck,17.816441407181426,-50.88267938153709,170.03215772005106,-130.44815779552115,-59.36413749181481,-1.3550915783529742,-0.990645283166868,-0.9551353931342157,1.2082710953327649,-96.88554062167088,-0.6449407225505956,59.19188984415366,7.582325968860955,-29.490622389216686
