Car_Model_33,height,highway_mpg,warranty_years,length,age,width,maintenance_cost,fuel_capacity,mileage,warranty_miles,horsepower,depreciation,Sale Status,insurance_cost,wheel_base,fuel_efficiency,city_mpg,weight,engine_size,curb_weight,price
Sedan,43.51784857590646,1.3840177252661503,-0.573870798614508,84.80291922620299,1.6671304810602237,6.102957800295409,5.422208092903107,-93.00406268645658,1.1731568610933114,-40.6778980675098,0.44845325785247564,-163.17566790662067,Sold,-226.45868718382394,68.41957845755256,-90.10545328699763,1.680332570373443,-138.93305640084134,38.704909673081076,-4.178041409505305,23.31002928472069
Sedan,98.97940218870023,0.6526462663928502,0.8647501019045534,-58.179661975570816,0.23801396044876255,-77.86633953590038,-3.662958777924202,20.854970911746374,0.9690026083329619,-26.5510757846555,-2.1675811004426704,105.47566083754838,Not Sold,157.26134224799586,-86.2210499934459,1.643424351741839,-0.4376540363273356,48.54364275160818,-173.95296602951063,-3.9096157101063413,80.43545740609495
SUV,-5.564849867000921,-1.1082617481275705,-1.63504260057676,-210.47895169772292,-0.34917572079150777,-115.59751918063061,-149.33036505169653,5.640397422018752,0.4443827446963719,157.9570654931775,-1.0109607552864017,-83.65567775184334,Not Sold,-21.86254041850819,19.819099981078622,-64.04662377751794,-0.9782248766886713,-96.78562286881069,-63.826123793936986,158.24113459459272,38.6576304767197
SUV,-207.87444089656114,1.43353272266632,0.6642138490396818,135.45160348219724,-1.0874275354629137,187.88722847254482,-98.61100249589538,15.156927724913166,0.27439818561928225,-197.8463833772633,0.1029534512902266,-55.57448849177049,Sold,-70.51960951659444,113.3875455310601,-84.72620235669433,0.6905186240657584,96.8479011756282,79.64173719026874,47.79808326769147,11.05328504795264
SUV,-86.83701201034265,1.055660829265773,-0.7181721389154183,128.20397164163708,0.9519948583970598,7.864836047690718,-73.81804379788298,-156.6175696957055,-1.7517308309569313,245.00563813135895,0.9166603122218809,25.37473426688988,Not Sold,-64.32305207575203,90.07637674549464,33.999540374225816,-0.8636176114922915,-58.32220356387441,97.82237981939592,105.93428955133537,32.47618904411334
SUV,16.505121125842,-0.9689725259719097,1.6777405221705777,-17.075920495330017,0.6313695705835782,-52.080740665068724,33.229949772274615,72.8550831515031,-0.7628565821837636,84.35734780785916,-2.1190107190084486,-6.662549579940285,Sold,129.12783262900612,177.22513032921498,-59.90071081900133,3.1124861115266267,-82.63503676452856,153.02395385236056,-89.41999518808194,79.83675176141672
Sedan,12.076188077360326,0.692307647498619,-0.3881013963423354,85.13686866849463,-1.4811440867002297,40.54426276224564,30.376283614839412,-133.3164295959236,0.9530917504028702,167.8803498026106,0.09651465504383518,-72.97541852683325,Not Sold,-71.21897653701984,14.68544623308772,-56.29500019468296,-0.047343977645101086,89.92770490647304,50.18673835141507,-12.9972910721122,10.945975809985194
Truck,-67.07868608137552,-0.09602096966521818,-0.33846757024737495,13.014897992513932,-1.1077726516435025,-83.20240370102275,56.09877265768516,-6.9350977842002255,0.20094467128933086,5.322018956140139,0.029185314525437028,104.09771683889824,Not Sold,-176.07490297360405,149.24264960745577,-110.31241479401157,-0.07961189063655463,-101.28844867762076,155.23211201355087,68.62826199366775,-46.98409727065581
Truck,141.3388925012569,1.5583649185367296,0.8475032840837233,41.4559397975696,1.5340836807911613,-126.17804127153289,58.84837599241563,-74.34276159759551,1.3116996978054642,-100.74970134827714,1.3357059009927812,-27.393642506339205,Sold,0.43866512356851683,-92.8524591033746,-71.82049200548907,-0.22046504558838276,107.26048166577375,-40.88571146266687,23.908507621985255,-72.29195268832079
SUV,102.06121099184493,-0.16596060479713598,-0.014488566971798771,89.82029472596975,2.3053573864976378,-33.96522448817252,141.62318574864892,-189.20609908391924,0.9110566631741229,-24.36072637502125,-0.21779651849714718,-48.13598188089609,Not Sold,27.74917850857207,38.948245508326835,-76.87907188945225,1.047310096956489,-78.54408530233238,-22.260496781534176,25.853420768190833,261.7977944463724
Truck,-108.19079878046081,0.34039079589400273,1.2594795599962632,10.505565029330915,-0.8422204668783572,88.71449847506393,-153.56400296559244,-79.09567861861326,-0.5510768395292633,204.71495302835038,-1.554153302993957,222.17369976025466,Not Sold,-63.60670276145331,-230.69844274091915,-52.63333837852397,2.7070194125366283,16.5360467691041,-81.48553988656656,-12.094176950437136,-215.5683955567189
Sedan,234.49587913730176,-0.50582618284818,2.082605887137751,94.47812933067266,-0.06407292308826418,33.21016049624684,68.14650009588115,-35.77499647710374,0.35426091413180577,35.783556783507684,1.9065293432948023,103.14386321832853,Sold,-105.64139301164892,-89.31910372197524,-71.03519655034904,2.3820443843720787,-49.13652076638401,175.78768674141062,24.526615941178996,39.432372019917736
SUV,47.52793013419703,1.2241626726020844,-0.43189928817474976,-5.456820888738446,1.1703450425291724,-154.2407985827493,-96.52413090607648,-116.54198446184478,0.9437369576484917,107.74683293497024,0.5885676566285568,11.676977702642345,Sold,-169.76548977357268,100.07803435619023,71.41137560733304,0.4320952807186291,67.99656831719827,73.27892002442616,23.62306396752697,64.92077856597803
Truck,-15.647707531767871,-0.004413052604496648,1.4446126499758085,-36.52245004084887,1.9166944361585478,130.10950875393507,-91.21161326035444,40.66824937993726,-0.7032743007727502,34.838984887369925,0.07225907799826764,27.171007226710834,Sold,17.094533859708655,36.320076598160234,19.9065332473182,-0.9951113283341235,-96.25600058071477,4.013422831854767,95.81023647503069,28.081049953731867
Sedan,-48.96797997633114,0.05555882742088932,-2.885226117408603,-25.147056219804192,-0.3476959830997421,129.86655450643468,20.243189250484928,62.942664764404796,-0.4010319402057202,-102.80861499875931,1.109626857587434,-146.3844463489274,Not Sold,90.83377775111192,108.25669801327886,-125.94434530807757,0.617848651796133,-56.862902531034166,-82.28761558358951,-181.2200149623448,-41.899801087127635
Sedan,-5.316588525828767,0.57971600424245,-0.22476252124366689,109.50204304886755,0.061366096251649106,-179.6117099488457,-186.94699024741521,21.350444550309007,2.873019367894717,-40.35059842334497,0.07723843205937707,139.4236117216411,Not Sold,-86.29304772658554,108.30930002545148,-160.18928268988276,-0.39078168472009706,33.29747466809884,16.22072161146697,-131.63747176530728,32.58905910459723
Truck,-184.24058755135096,-0.829939121573445,-0.7514443884618244,-36.87486721308837,0.2785694364744966,47.6227270415254,34.79931487400575,99.3422730663633,0.12358714682646775,-15.368649951674785,0.1813260755762053,161.58370972661982,Not Sold,115.21213226743605,21.9563433053662,70.68971782577765,1.4411056081300477,16.763164750516477,81.97235078705326,53.89749480654196,55.42662821135106
Sedan,163.6198680847488,-0.3874273751158618,1.5832909423508452,-24.718489676151936,-1.1079466886565106,-98.17219326475843,2.4235940792863326,40.325126029638085,-1.9041454918358465,29.477845647557928,0.7186121862158537,4.855525315370714,Not Sold,-104.91585721571157,-64.24544117996234,91.34600984133307,-1.1032451892353767,-64.71063808781325,-132.77918797234915,144.51411571136111,-71.89943579125908
Truck,33.66163481068221,-1.1240620839214268,1.7300899054041052,-5.3405847558635795,-0.35673672427467884,-193.34827729139934,33.778845037889106,75.62030238170237,-1.6247093463062265,235.8725599381633,-0.6690771177903704,119.94646253632524,Not Sold,-23.15260155344092,50.36427337194739,-17.441200265851574,1.0229758991752285,52.72662362504222,-98.21593843420541,17.982828768780312,-27.101178567682755
Sedan,-32.06945033660603,-2.1037592078680873,-1.4366476926640614,238.614727062371,-0.8402395638630278,-13.719016351168664,191.63630533820847,-56.55276855080622,0.030908436155858088,-150.4826845070035,1.2598121759354535,-38.644217519011804,Sold,114.58166121053799,-25.448446718729674,-16.38619778121918,-0.19065755819653152,-41.65386563548508,92.69148843126455,-39.51355747229451,33.36610411384604
