Performance,homework_completion,study_group,online_resources,health_status,Subject_3,textbook_quality,extracurricular_activities,prior_knowledge,participation,attendance,tutoring,access_to_resources,study_hours,family_support
Pass,-0.6023475185225597,0.1514260543335897,0.1673247205891984,-0.4327501022315077,Math,1.8186219787142512,1.2543952286542694,0.00867905167143567,0.41990191552326533,0.03936128801197757,0.32799493738560154,-0.1972480157273634,-0.30207710621931566,-1.3071430996488236
Pass,-0.3010685910707941,0.5858095620907127,-0.2807198069363101,-0.9388100411505682,Science,0.655596766396105,-0.01220096271139964,-0.05427850599411012,1.690709836855904,-0.7322142876818892,-0.45247506626446365,-0.3289771276832071,0.21107968925901371,-0.5178934874745555
Fail,1.5634172522487586,-0.23236693457179264,1.1439361313868783,-0.08377179855099505,Science,-1.199417217447443,0.13159837231830107,-0.2871494853583276,0.31883950344936696,0.07203811803299458,-0.12300182369849892,-0.3780225160755716,-1.2155347498483715,0.812179909425756
Fail,-0.9437945860265974,-0.7251913707036642,-0.3538748476300101,0.3335302758138686,Science,-0.5366127767800922,-0.9824155016482052,-0.014171319222907416,1.2221072291553363,0.7050998796241327,-0.6804612568168402,-0.11287666475328043,0.3885008855410122,1.1421926596445393
Pass,-0.5486860720056208,0.07502843942525861,-0.02396104714837028,1.0033866314961881,Math,2.224974551473596,0.1401007149969843,-1.0249846997974386,-0.560798692976343,-1.3026191029782457,0.049689100935249864,1.1284557643451554,0.3206235461062991,0.7334556037550182
Fail,0.06358277050208973,-0.28613140375994844,-1.0288722427178063,1.466849903119794,English,0.7336485984092745,-0.37153977739155025,0.3094229455147595,-2.033959269367899,-2.106307314210931,-0.49716874730397653,1.866983286396472,-0.41443317653121087,-0.5713640333086916
Pass,0.1713927957457493,1.649330325264808,0.744519530026422,0.5364609769223168,English,0.38928997038859625,0.9948793349390226,1.6189100890815586,0.22895094877537397,1.955761303457481,-0.3616335425365511,3.2491108196570355,0.05791972378197389,0.10065202137183356
Pass,-1.6267745838486096,1.040908533507342,-0.08081987504279614,-0.6308720672838053,English,-0.19583295246122745,-0.7521886695066435,0.7358903520902287,1.271611101047061,-1.018709093280649,1.064854874445583,0.21375617364846472,-0.2918221174480022,1.2506730756583688
Pass,1.0545794019484298,-1.248260236261333,2.1475783103713386,1.1141242106202005,Science,2.239727263646472,1.0259639401653908,-1.4660179001186981,0.7834506330561579,1.3237334950305077,1.4816973619234743,1.5068944849590011,-1.1360538254447812,-0.2640348482439337
Pass,-0.7189844800691834,0.12639098449449432,-0.33034293904365436,-0.042779735214928796,English,2.150772963447336,-0.5223831677023001,-0.21788265308594174,0.4388258552087104,-0.43638183270610936,1.3225263456200282,1.2925965693442438,0.955020249784079,0.7307810769476305
