extracurricular_activities,prior_knowledge,homework_completion,health_status,study_group,access_to_resources,attendance,Performance,Subject_22,family_support,online_resources,textbook_quality,tutoring,participation,study_hours
0.028621349070424525,-1.541161424841033,-2.169748388002802,-0.4156355541072324,-0.9053923151944494,1.1440454597672853,-1.4352828649620801,Pass,English,1.1149271109370082,1.0493747035744416,-0.29540379684255413,-0.5037556206273083,-2.454775261917586,0.684998302624832
1.5666213622552931,0.4340028509412715,2.2396637345759505,-0.3184110437610269,0.3707692201013308,0.16741871877131603,0.9631209085585142,Fail,Math,-0.5672762043297154,-0.8189307872602928,-0.8377779551822073,1.5741634061458518,0.2514602474606971,-0.9146839858949262
0.7462277821446764,1.5359118884016196,0.40781458320720254,0.45313206931591016,-0.5409998901501611,-1.999279367692678,-1.0995599087461563,Fail,Math,-0.24916122941698843,-1.091138842959435,-1.0161929349027576,0.6795039094835245,-0.36391194040286645,-0.34736782000507394
-0.720086817605633,-0.27843381386227545,0.5427005820932143,-1.244937907039361,-0.021487366065403635,0.4258663219360582,1.6552525632638653,Fail,English,-0.5341086420881163,0.013220488880947857,0.5717037603868292,-0.04068849973744415,-0.8112068496345693,-0.5900034544486684
0.38168168038055833,-1.2890345590393428,0.5944811897647541,0.9632494852136371,-1.1277144687541454,0.9866834890323412,0.14512705960312086,Fail,English,-0.011177452006159537,0.2776027968999508,1.0177709493489377,-0.0682769079654833,1.1697695199953075,-0.4860647690790704
-0.10562869543222281,-1.0048506338667134,0.1828936647430763,-0.7135302196835187,-0.6495547456582417,2.1416810803452075,0.44166276426006623,Pass,English,-0.3518726021369637,1.3621010356552614,-1.0105459800145606,0.032682381672265386,-1.444750378903851,-0.9597540259942751
1.2877090050797033,1.0938294732044884,0.2385459032024279,0.9564209064092432,-0.07867979068961502,-1.0821912380159404,0.004852829288727468,Fail,Math,0.3390355017952489,1.0476814223189403,-1.3003264350576165,-0.07223540259706154,1.2973380516744102,1.868667039228718
-0.5201531646746114,-1.6872023723942176,-0.5792244767628112,0.5421671469464864,-0.13933948526707565,0.9857236577912889,1.3797590112006726,Fail,Math,-0.5024586081040863,-0.8423743293747439,-0.7002436201278622,0.7151230475792403,-0.8783093889363287,-0.40460925533923287
-1.4007024210391823,0.10846142159338987,0.07483267318916201,1.0778338532033225,-1.8257986455612725,-0.6319912619064939,-0.8420562944353129,Fail,Math,-0.15837832491754408,1.1368595767529297,-1.8188709124388898,-1.379138586374587,-0.5312272666009039,0.4126926528368137
0.22305184659155614,-0.5319807277644582,-2.0487386613420338,0.8793764470309723,1.4052026165673637,0.06824353668254064,0.5223271969264744,Fail,English,-1.0176362275473414,0.5332343321785851,-0.6262083575053146,-1.0777819694738213,-0.05184680468349984,-0.36531153342280676
2.071025447078095,0.5418099684413537,1.7347745247784494,-0.703625163381427,-0.1787746335000696,0.6728412631226628,-0.025544122991584938,Pass,Science,1.5502274526531816,0.5829890512462941,-0.56391824464378,0.31958191647188156,-1.6049121264974913,-0.16227180379849265
-0.08312492232293789,-1.2348024767286296,-0.28393026810458283,0.42717405449677803,0.3969921413896753,-0.563952878831175,-1.8705273855116558,Fail,Science,-0.891652601316248,0.05579314637543879,0.8621128859420361,-0.4774628772020318,-1.2954299815270056,2.135896751909126
-0.6267835586465448,0.6783788562454858,-0.7804918857590435,-0.6062138504675926,-1.7545517042473506,1.815956190136046,0.6240526205052013,Pass,Science,0.2995461326714536,1.0701617089439144,1.7102448510075425,-0.9432031625703968,0.09978555612748609,-0.024215373019736263
-0.7668219409052073,-0.45403354438825394,-0.44807050462536785,-1.0589586938845448,1.1795140615565014,0.23598391538559155,1.315603925861141,Pass,English,1.2911260444482198,-0.27596745109585086,-0.14654286360001845,-0.28758402806944583,-0.2091040835106927,-1.621429796624154
0.9653255384854161,0.7799626708780885,0.3546080407208879,-0.747336663822917,-0.40893473486778487,0.2659789569112434,0.8580124198875955,Pass,English,0.06334635253759734,0.5415289056078272,0.11736704207135579,0.6138562746789039,1.2963237668565826,-1.1634585270143671
0.2855864821535797,-0.11751497189825075,1.3748919460386955,-0.1103336042296716,-0.5464610240148,-0.3267652907167351,-1.7089361763344155,Pass,English,-0.19591115042180351,0.6108324768305607,0.9834795231109373,0.1931139024705346,0.08615289623883397,-1.5172230929665682
-0.5286895341557748,0.6599407159729196,-2.617739065908495,0.3255900201296126,-0.7252836741217531,-0.30702964893220347,0.01869175432831126,Fail,Science,-1.9106700873774964,0.3543491073002936,-0.38078527741878715,0.8365192652624376,1.1774432226294946,0.026540197890724655
