attendance,online_resources,tutoring,Performance,extracurricular_activities,Subject_6,access_to_resources,homework_completion,study_group,textbook_quality,health_status,family_support,study_hours,prior_knowledge,participation
-0.8332047406438282,0.7106629418688639,-0.5339510745036706,Fail,-1.8524999589111788,Math,1.4608607672412508,0.40329564499225284,-0.1820648301814464,-0.32737640584227545,-0.8881493217527863,0.07937504575809146,-0.12036064340378677,-0.8345679481192145,-1.540482510329933
-0.5838005779719573,-0.2718808118013004,-0.6696011475012436,Pass,-1.4033659057748311,English,0.9469121894750506,1.2379895509101366,-0.5108480521896549,0.5176725757546266,0.6914590553523731,-0.46229963090955756,-2.2419188786910937,1.0794236083807203,1.5742212401794564
0.2297024430254685,0.5330735589487383,0.8016727566498337,Pass,0.03482696414536526,Science,-0.46288378312945333,0.23240919190107268,-1.044077706723196,-0.01679527302845203,-0.5842558042338969,0.007868386121753482,-0.14902976573498092,-1.0009980039871786,0.6737007100253973
-1.5367196833762906,-1.1660653474542007,0.8109610323086689,Fail,0.559921041234318,Science,0.529110776741229,-1.073109086032577,-1.8910131125385687,0.2596569010910671,-0.39452206289704594,-0.6466061148101435,0.3433526406929912,1.3393853017749153,-0.04426247959203816
0.7099902390241072,0.6230767717130882,0.6425821449556374,Fail,-0.4289167207540304,English,0.6224583067856343,0.147474674583943,1.537002125192865,0.17135407337612485,-0.4197001966827905,-0.10574578491982599,-0.5745717800601449,-0.5355416684462949,-0.19300159494642763
-0.16749433797806088,1.4970927764735769,-1.0721552578814781,Fail,1.4148795397100313,Science,0.7097114197371809,0.8634938385417511,-0.5558831945460584,-2.252527686366527,-0.5478362760193369,-1.2502375789554354,0.21395771054174922,-0.045567975501728766,-1.6213155670645625
-1.5098155347589342,1.0194718319051563,0.13838375514939805,Fail,-0.19420712386024258,Math,-1.3536822336046632,-1.3934466434358812,0.5203659660264741,-1.6627367604734409,0.5010859013907689,-1.2351066216117448,1.1089943104059974,0.6161200400553192,0.4190440835526329
0.872195237835619,-0.7382876569559084,-0.2521088300958073,Pass,-0.7493417733315972,Science,-0.6607370523557797,1.7966984037740432,-0.7564266167409854,1.6678887452751125,0.6452078446869866,-0.9637591226583528,-0.478125918426326,-0.12394781546034789,-1.5090463291586143
-1.363717302214655,-0.13834698289917333,1.21869829836123,Fail,1.1669681003997523,Math,-0.5439415500471224,0.4860676503558197,-0.6613066304460362,0.12758566659549944,0.021300644173480605,-0.09744303482379052,2.1621059974909507,0.54248749278773,0.0548294594144202
0.6260158416138927,1.3396383875870796,-0.2749165710725243,Pass,-0.6311265806118572,Science,1.3057689577355316,0.4438273921388793,1.82710800634451,0.8774748680458079,-0.4297352952619001,-0.17183131392735282,-0.1769079373325239,-0.1797425695822945,-0.2063008457827955
