attendance,access_to_resources,study_hours,textbook_quality,prior_knowledge,tutoring,online_resources,Performance,extracurricular_activities,Subject_25,health_status,homework_completion,family_support,study_group,participation
0.8234980792162061,-2.2005777385062806,-0.4626045693296353,-0.8497065869018461,0.7670194916252246,-1.04713127793926,0.11847596504446684,Pass,1.2692991115724455,English,0.047917814216838925,-1.319467063457429,-1.3594439257451527,0.543817367412196,0.672716413812952
1.7844722527655583,-0.06449188879393646,-0.37869294701773476,0.1703174147691621,1.9156261150553,0.884436054093206,-0.3009059436578377,Fail,1.5732967169733132,English,-1.4102097890731626,-2.052112527172749,1.8474565906873675,1.2600125547099341,-0.6172016216131259
0.7748556663639831,1.1567756719744278,-1.0920683686834969,1.9747734540303943,0.5215758245067034,-0.07394422755833174,-0.10891337410378843,Pass,1.675438332075143,Science,0.7736051626343345,-0.5249349605633701,0.2357469605852791,1.97012996920533,1.0680771010251449
1.162784907660704,0.7023361475421909,0.550870572418422,0.2605319820184432,-0.3573065287318853,-0.5168787983842809,1.1807214632167469,Fail,-1.11107076257894,English,0.37179363171604435,-0.7976196118535689,-0.8845718306098675,0.42072792337093307,0.3365404148218191
0.9602352006495385,-0.9346232809311202,-0.36248897609325925,-1.3817454981575579,-0.5264054726046358,-1.605730129938398,0.07817402470937163,Pass,0.34420353563860606,Math,0.48399096405174247,0.3485499730963357,2.812138634615189,1.6685646004198322,-0.5212126900097689
0.1246956569408316,0.20417871254570424,1.235464518167512,0.6361275562929031,0.04892885486536222,-0.09210780445593048,0.4699276039840381,Fail,-0.8642912769144706,Science,1.3084288628641931,0.5333245204987356,-0.9818366851777495,-0.34178215369497517,
-0.7193559298166747,-0.2134392354708918,0.6609619401647454,0.8436676202724527,0.3177266202973523,0.8138868841012726,1.5535684938667156,Fail,-0.09835170047307783,Science,-1.2955841203522522,-0.9542531340389214,-0.6533570332272735,-0.023418777422146004,-1.484323421712216
0.635239626386437,-0.5144940595754882,0.4792214622463401,-0.07919022448525337,-0.8676708645737741,2.168545945741919,-0.3548732749602193,Fail,-0.8072288556098828,Science,0.06200922110373266,0.2577003290997722,-0.184887444532286,0.2143372519446486,-1.8588879395244406
0.9589328975712741,0.8849306946183458,-0.04901857925141586,-0.22610817299078997,-0.8854811229942241,0.8824955656380797,-0.46206777399314647,Fail,2.091660227908073,Math,0.5666007412581213,1.3748823307188727,1.3108783028700095,-0.7794229114748111,0.05593466213485711
0.11854680913999564,0.41348366744887766,0.19816526616870977,0.32041714049705494,-0.4557157677663295,-0.7378412086909257,-0.5162869927850188,Fail,0.711711865244762,Science,1.149280548623806,0.8103722237349488,0.5825728777383683,-0.6976642547125235,-1.4943306321264147
0.36521212947124226,1.5378139677458624,1.881420545543648,-0.24209279154631583,0.933652834673171,-0.8780625585730853,-0.09760323351469406,Fail,-0.1157645502236216,Science,0.680662517844741,0.4930018661864838,-0.10242196739750224,0.32237027140105756,1.1194655115116332
0.425587719092799,1.3407907366951899,-1.5339264909940433,-0.11178319161467541,-0.8120193942036467,-1.7786280172283295,0.8405362704202068,Fail,-0.5126002470148912,Science,-0.04164010281741043,-2.6938491841038763,-0.39413371917137346,-0.25916567045960226,0.7551531487613591
0.8548358528645386,-0.7481229280736174,-0.4990317920772684,0.4889405951663231,-1.6841458565344096,-0.065824809080829,1.7312913713643356,Fail,-1.1820317492825636,Science,-1.5366228848259331,-1.0886804646917279,-1.983022190349469,-0.6358478049405905,-2.2297747143598836
